,pretty_formula,final_structure,icsd_ids,spacegroup
230,As(S8I)3,"Full Formula (As1 S24 I3)
Reduced Formula: As(S8I)3
abc   :  15.155691  15.155691  15.155690
angles: 118.772570 118.772570 118.772568
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  As    0.760317  0.760317  0.760317        -0
  1  S     0.805498  0.52263   0.52263         -0
  2  S     0.52263   0.52263   0.805498        -0
  3  S     0.52263   0.805498  0.52263         -0
  4  S     0.243146  0.371799  0.632433         0
  5  S     0.35955   0.957629  0.35955         -0
  6  S     0.35955   0.35955   0.957629        -0
  7  S     0.957629  0.35955   0.35955         -0
  8  S     0.128325  0.740522  0.257117         0
  9  S     0.257117  0.128325  0.740522         0
 10  S     0.740522  0.257117  0.128325         0
 11  S     0.740522  0.128325  0.257117         0
 12  S     0.257117  0.740522  0.128325         0
 13  S     0.128325  0.257117  0.740522         0
 14  S     0.349009  0.880471  0.531123         0
 15  S     0.531123  0.349009  0.880471         0
 16  S     0.880471  0.531123  0.349009         0
 17  S     0.880471  0.349009  0.531123         0
 18  S     0.531123  0.880471  0.349009         0
 19  S     0.349009  0.531123  0.880471         0
 20  S     0.243146  0.632433  0.371799         0
 21  S     0.371799  0.243146  0.632433         0
 22  S     0.632433  0.371799  0.243146         0
 23  S     0.632433  0.243146  0.371799         0
 24  S     0.371799  0.632433  0.243146         0
 25  I     0.886885  0.041359  0.041359         0
 26  I     0.041359  0.041359  0.886885         0
 27  I     0.041359  0.886885  0.041359         0",[412399],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R3m', 'number': 160, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'R 3 -2""'}"
231,Ba(IO3)2,"Full Formula (Ba2 I4 O12)
Reduced Formula: Ba(IO3)2
abc   :   7.582536   7.582536   8.520640
angles:  58.965030  58.965030  67.056566
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.644811  0.355189  0.75            -0
  1  Ba    0.355189  0.644811  0.25            -0
  2  I     0.155996  0.208047  0.306825        -0
  3  I     0.791953  0.844004  0.193175        -0
  4  I     0.844004  0.791953  0.693175        -0
  5  I     0.208047  0.155996  0.806825        -0
  6  O     0.240703  0.926638  0.423894         0
  7  O     0.073362  0.759297  0.076106         0
  8  O     0.759297  0.073362  0.576106         0
  9  O     0.926638  0.240703  0.923894         0
 10  O     0.406259  0.302251  0.149253         0
 11  O     0.697749  0.593741  0.350747         0
 12  O     0.283655  0.084744  0.008297         0
 13  O     0.915256  0.716345  0.491703         0
 14  O     0.716345  0.915256  0.991703         0
 15  O     0.084744  0.283655  0.508297         0
 16  O     0.302251  0.406259  0.649253         0
 17  O     0.593741  0.697749  0.850747         0",[23276],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}"
232,B10H13I,"Full Formula (B80 H104 I8)
Reduced Formula: B10H13I
abc   :  12.319264  14.390284  14.478973
angles:  60.836753  90.000000  90.000000
Sites (192)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  B     0.771495  0.66476   0.830955         0
  1  B     0.271495  0.83524   0.669045         0
  2  B     0.228505  0.33524   0.169045         0
  3  B     0.728505  0.16476   0.330955         0
  4  B     0.80022   0.609886  0.746863         0
  5  B     0.30022   0.890114  0.753137         0
  6  B     0.19978   0.390114  0.253137         0
  7  B     0.69978   0.109886  0.246863         0
  8  B     0.697292  0.660516  0.648078         0
  9  B     0.197292  0.839484  0.851922         0
 10  B     0.302708  0.339484  0.351922         0
 11  B     0.802708  0.160516  0.148078         0
 12  B     0.671654  0.81519   0.579141         0
 13  B     0.171654  0.68481   0.920859         0
 14  B     0.328346  0.18481   0.420859         0
 15  B     0.828346  0.31519   0.079141         0
 16  B     0.75247   0.889115  0.622679         0
 17  B     0.25247   0.610885  0.877321         0
 18  B     0.24753   0.110885  0.377321         0
 19  B     0.74753   0.389115  0.122679         0
 20  B     0.744167  0.818192  0.763011         0
 21  B     0.244167  0.681808  0.736989         0
 22  B     0.255833  0.181808  0.236989         0
 23  B     0.755833  0.318192  0.263011         0
 24  B     0.667687  0.609054  0.785485         0
 25  B     0.167687  0.890946  0.714515         0
 26  B     0.332313  0.390946  0.214515         0
 27  B     0.832313  0.109054  0.285485         0
 28  B     0.595377  0.720168  0.685616         0
 29  B     0.095377  0.779832  0.814384         0
 30  B     0.404623  0.279832  0.314384         0
 31  B     0.904623  0.220168  0.185616         0
 32  B     0.627195  0.843565  0.680327         0
 33  B     0.127195  0.656435  0.819673         0
 34  B     0.372805  0.156435  0.319673         0
 35  B     0.872805  0.343565  0.180327         0
 36  B     0.641403  0.722068  0.800572         0
 37  B     0.141403  0.777932  0.699428         0
 38  B     0.358597  0.277932  0.199428         0
 39  B     0.858597  0.222068  0.300572         0
 40  B     0.853948  0.831548  0.166953         0
 41  B     0.353948  0.668452  0.333047         0
 42  B     0.146052  0.168452  0.833047         0
 43  B     0.646052  0.331548  0.666953         0
 44  B     0.830247  0.75242   0.105351         0
 45  B     0.330247  0.74758   0.394649         0
 46  B     0.169753  0.24758   0.894649         0
 47  B     0.669753  0.25242   0.605351         0
 48  B     0.931462  0.651453  0.157255         0
 49  B     0.431462  0.848547  0.342745         0
 50  B     0.068538  0.348547  0.842745         0
 51  B     0.568538  0.151453  0.657255         0
 52  B     0.947787  0.57554   0.312305         0
 53  B     0.447787  0.92446   0.187695         0
 54  B     0.052213  0.42446   0.687695         0
 55  B     0.552213  0.07554   0.812305         0
 56  B     0.862074  0.615612  0.38565          0
 57  B     0.362074  0.884388  0.11435          0
 58  B     0.137926  0.384388  0.61435          0
 59  B     0.637926  0.115612  0.88565          0
 60  B     0.872813  0.756774  0.321438         0
 61  B     0.372813  0.743226  0.178562         0
 62  B     0.127187  0.243226  0.678562         0
 63  B     0.627187  0.256774  0.821438         0
 64  B     0.962     0.788089  0.113812         0
 65  B     0.462     0.711911  0.386188         0
 66  B     0.038     0.211911  0.886188         0
 67  B     0.538     0.288089  0.613812         0
 68  B     0.028509  0.683325  0.2256           0
 69  B     0.528509  0.816675  0.2744           0
 70  B     0.971491  0.316675  0.7744           0
 71  B     0.471491  0.183325  0.7256           0
 72  B     0.989148  0.672275  0.349048         0
 73  B     0.489148  0.827725  0.150952         0
 74  B     0.010852  0.327725  0.650952         0
 75  B     0.510852  0.172275  0.849048         0
 76  B     0.980548  0.79667   0.230857         0
 77  B     0.480548  0.70333   0.269143         0
 78  B     0.019452  0.20333   0.769143         0
 79  B     0.519452  0.29667   0.730857         0
 80  H     0.854775  0.678697  0.76716          0
 81  H     0.354775  0.821303  0.73284          0
 82  H     0.145225  0.321303  0.23284          0
 83  H     0.645225  0.178697  0.26716          0
 84  H     0.803982  0.675338  0.641856         0
 85  H     0.303982  0.824662  0.858144         0
 86  H     0.196018  0.324662  0.358144         0
 87  H     0.696018  0.175338  0.141856         0
 88  H     0.7776    0.834794  0.572034         0
 89  H     0.2776    0.665206  0.927966         0
 90  H     0.2224    0.165206  0.427966         0
 91  H     0.7224    0.334794  0.072034         0
 92  H     0.827384  0.837273  0.698171         0
 93  H     0.327384  0.662727  0.801829         0
 94  H     0.172616  0.162727  0.301829         0
 95  H     0.672616  0.337273  0.198171         0
 96  H     0.810097  0.625694  0.917245         0
 97  H     0.310097  0.874306  0.582755         0
 98  H     0.189903  0.374306  0.082755         0
 99  H     0.689903  0.125694  0.417245         0
100  H     0.859999  0.537861  0.765806         0
101  H     0.359999  0.962139  0.734194         0
102  H     0.140001  0.462139  0.234194         0
103  H     0.640001  0.037861  0.265806         0
104  H     0.679126  0.617432  0.597285         0
105  H     0.179126  0.882568  0.902715         0
106  H     0.320874  0.382568  0.402715         0
107  H     0.820874  0.117432  0.097285         0
108  H     0.640524  0.857149  0.48995          0
109  H     0.140524  0.642851  0.01005          0
110  H     0.359476  0.142851  0.51005          0
111  H     0.859476  0.357149  0.98995          0
112  H     0.785472  0.977324  0.569933         0
113  H     0.285472  0.522676  0.930067         0
114  H     0.214528  0.022676  0.430067         0
115  H     0.714528  0.477324  0.069933         0
116  H     0.766638  0.861047  0.813221         0
117  H     0.266638  0.638953  0.686779         0
118  H     0.233362  0.138953  0.186779         0
119  H     0.733362  0.361047  0.313221         0
120  H     0.621596  0.527408  0.839804         0
121  H     0.121596  0.972592  0.660196         0
122  H     0.378404  0.472592  0.160196         0
123  H     0.878404  0.027408  0.339804         0
124  H     0.505067  0.706553  0.664561         0
125  H     0.005067  0.793447  0.835439         0
126  H     0.494933  0.293447  0.335439         0
127  H     0.847342  0.804436  0.366206         0
128  H     0.994933  0.206553  0.164561         0
129  H     0.056773  0.595459  0.829667         0
130  H     0.443227  0.095459  0.329667         0
131  H     0.943227  0.404541  0.170333         0
132  H     0.771163  0.769141  0.173853         0
133  H     0.271163  0.730859  0.326147         0
134  H     0.228837  0.230859  0.826147         0
135  H     0.728837  0.269141  0.673853         0
136  H     0.824194  0.646084  0.166087         0
137  H     0.324194  0.853916  0.333913         0
138  H     0.175806  0.353916  0.833913         0
139  H     0.675806  0.146084  0.666087         0
140  H     0.840771  0.570406  0.325486         0
141  H     0.340771  0.929594  0.174514         0
142  H     0.159229  0.429594  0.674514         0
143  H     0.659229  0.070406  0.825486         0
144  H     0.789245  0.693702  0.333552         0
145  H     0.289245  0.806298  0.166448         0
146  H     0.210755  0.306298  0.666448         0
147  H     0.710755  0.193702  0.833552         0
148  H     0.816592  0.918819  0.129288         0
149  H     0.316592  0.581181  0.370712         0
150  H     0.183408  0.081181  0.870712         0
151  H     0.683408  0.418819  0.629288         0
152  H     0.774694  0.775401  0.030005         0
153  H     0.274694  0.724599  0.469995         0
154  H     0.225306  0.224599  0.969995         0
155  H     0.725306  0.275401  0.530005         0
156  H     0.953482  0.603728  0.111788         0
157  H     0.453482  0.896272  0.388212         0
158  H     0.046518  0.396272  0.888212         0
159  H     0.546518  0.103728  0.611788         0
160  H     0.976545  0.485106  0.352014         0
161  H     0.476545  0.014894  0.147986         0
162  H     0.023455  0.514894  0.647986         0
163  H     0.523455  0.985106  0.852014         0
164  H     0.825093  0.558973  0.470969         0
165  H     0.325093  0.941027  0.029031         0
166  H     0.174907  0.441027  0.529031         0
167  H     0.674907  0.058973  0.970969         0
168  H     0.444115  0.158014  0.914265         0
169  H     0.944115  0.341986  0.585735         0
170  H     0.555885  0.841986  0.085735         0
171  H     0.055885  0.658014  0.414265         0
172  H     0.380024  0.161838  0.715837         0
173  H     0.880024  0.338162  0.784163         0
174  H     0.619976  0.838162  0.284163         0
175  H     0.119976  0.661838  0.215837         0
176  H     0.487917  0.344948  0.536131         0
177  H     0.987917  0.155052  0.963869         0
178  H     0.512083  0.655052  0.463869         0
179  H     0.012083  0.844948  0.036131         0
180  H     0.652658  0.304436  0.866206         0
181  H     0.152658  0.195564  0.633794         0
182  H     0.347342  0.695564  0.133794         0
183  H     0.556773  0.904541  0.670333         0
184  I     0.541733  0.698184  0.93601          0
185  I     0.041733  0.801816  0.56399          0
186  I     0.458267  0.301816  0.06399          0
187  I     0.958267  0.198184  0.43601          0
188  I     0.079916  0.929     0.218298         0
189  I     0.579916  0.571     0.281702         0
190  I     0.920084  0.071     0.781702         0
191  I     0.420084  0.429     0.718298         0",[31966],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
233,AsI5F6,"Full Formula (As2 I10 F12)
Reduced Formula: AsI5F6
abc   :  10.756186  10.756186   8.904889
angles:  72.386089  72.386089 119.789159
Sites (24)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  As    0.406446  0.593554  0.75             0
  1  As    0.593554  0.406446  0.25             0
  2  I     0.670282  0.887468  0.060291        -0
  3  I     0         0         0.5             -0
  4  I     0.329718  0.112532  0.939709        -0
  5  I     0.887468  0.670282  0.560291        -0
  6  I     0         0         0               -0
  7  I     0.112532  0.329718  0.439709        -0
  8  I     0.302603  0.851871  0.931921         0
  9  I     0.148129  0.697397  0.568079         0
 10  I     0.697397  0.148129  0.068079         0
 11  I     0.851871  0.302603  0.431921         0
 12  F     0.774873  0.450479  0.078174        -0
 13  F     0.549521  0.225127  0.421826        -0
 14  F     0.225127  0.549521  0.921826        -0
 15  F     0.450479  0.774873  0.578174        -0
 16  F     0.643137  0.590783  0.078741         0
 17  F     0.409217  0.356863  0.421259         0
 18  F     0.279126  0.468283  0.685804         0
 19  F     0.590783  0.643137  0.578741         0
 20  F     0.468283  0.279126  0.185804         0
 21  F     0.720874  0.531717  0.314196         0
 22  F     0.531717  0.720874  0.814196         0
 23  F     0.356863  0.409217  0.921259         0",[59115],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}"
234,KAuI3,"Full Formula (K4 Au4 I12)
Reduced Formula: KAuI3
abc   :   9.726579   7.463625  13.529283
angles:  59.177119  90.000000  90.000000
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0.116259  0.187115  0.251167        -0
  1  K     0.616259  0.812885  0.248833        -0
  2  K     0.883741  0.812885  0.748833        -0
  3  K     0.383741  0.187115  0.751167        -0
  4  Au    0.5       0.5       0                0
  5  Au    0         0.5       0.5              0
  6  Au    0.5       0         0.5              0
  7  Au    0         0         0                0
  8  I     0.150858  0.74657   0.964779         0
  9  I     0.650858  0.25343   0.535221         0
 10  I     0.849142  0.25343   0.035221         0
 11  I     0.349142  0.74657   0.464779         0
 12  I     0.992947  0.341483  0.731952         0
 13  I     0.492947  0.658517  0.768048         0
 14  I     0.007053  0.658517  0.268048         0
 15  I     0.507053  0.341483  0.231952         0
 16  I     0.158117  0.17904   0.531761         0
 17  I     0.658117  0.82096   0.968239         0
 18  I     0.841883  0.82096   0.468239         0
 19  I     0.341883  0.17904   0.031761         0",[32036],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
235,Bi(IO3)3,"Full Formula (Bi4 I12 O36)
Reduced Formula: Bi(IO3)3
abc   :   6.114178   8.975158  17.019399
angles:  65.020014  90.000000  90.000000
Sites (52)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.717856  0.347742  0.605355        -0
  1  Bi    0.217856  0.652258  0.894645        -0
  2  Bi    0.282144  0.652258  0.394645        -0
  3  Bi    0.782144  0.347742  0.105355        -0
  4  I     0.903482  0.915003  0.698646         0
  5  I     0.403482  0.084997  0.801354         0
  6  I     0.096518  0.084997  0.301354         0
  7  I     0.596518  0.915003  0.198646         0
  8  I     0.362916  0.143398  0.520745         0
  9  I     0.862916  0.856602  0.979255         0
 10  I     0.637084  0.856602  0.479255         0
 11  I     0.137084  0.143398  0.020745         0
 12  I     0.815932  0.432389  0.354107         0
 13  I     0.315932  0.567611  0.145893         0
 14  I     0.184068  0.567611  0.645893         0
 15  I     0.684068  0.432389  0.854107         0
 16  O     0.178282  0.845143  0.74506         -0
 17  O     0.678282  0.154857  0.75494         -0
 18  O     0.821718  0.154857  0.25494         -0
 19  O     0.321718  0.845143  0.24506         -0
 20  O     0.913442  0.834618  0.61628         -0
 21  O     0.413442  0.165382  0.88372         -0
 22  O     0.086558  0.165382  0.38372         -0
 23  O     0.586558  0.834618  0.11628         -0
 24  O     0.993214  0.130012  0.633919        -0
 25  O     0.493214  0.869988  0.866081        -0
 26  O     0.006786  0.869988  0.366081        -0
 27  O     0.506786  0.130012  0.133919        -0
 28  O     0.528594  0.096533  0.61979         -0
 29  O     0.028594  0.903467  0.88021         -0
 30  O     0.471406  0.903467  0.38021         -0
 31  O     0.971406  0.096533  0.11979         -0
 32  O     0.600504  0.395895  0.963709        -0
 33  O     0.100504  0.604105  0.536291        -0
 34  O     0.399496  0.604105  0.036291        -0
 35  O     0.899496  0.395895  0.463709        -0
 36  O     0.446006  0.56291   0.801421        -0
 37  O     0.946006  0.43709   0.698579        -0
 38  O     0.553994  0.43709   0.198579        -0
 39  O     0.053994  0.56291   0.301421        -0
 40  O     0.886699  0.601539  0.828681        -0
 41  O     0.386699  0.398461  0.671319        -0
 42  O     0.113301  0.398461  0.171319        -0
 43  O     0.613301  0.601539  0.328681        -0
 44  O     0.103003  0.366351  0.990302        -0
 45  O     0.603003  0.633649  0.509698        -0
 46  O     0.896997  0.633649  0.009698        -0
 47  O     0.396997  0.366351  0.490302        -0
 48  O     0.917767  0.14238   0.944975        -0
 49  O     0.417767  0.85762   0.555025        -0
 50  O     0.082233  0.85762   0.055025        -0
 51  O     0.582233  0.14238   0.444975        -0",[413344],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
236,EuIBr,"Full Formula (Eu4 I4 Br4)
Reduced Formula: EuIBr
abc   :   4.812250   8.472645   9.805531
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Eu    0.75  0.226223  0.871988     6.897
  1  Eu    0.25  0.773777  0.128012     6.897
  2  Eu    0.75  0.726223  0.628012     6.897
  3  Eu    0.25  0.273777  0.371988     6.897
  4  I     0.75  0.973417  0.333054    -0.025
  5  I     0.25  0.026583  0.666946    -0.025
  6  I     0.75  0.473417  0.166946    -0.025
  7  I     0.25  0.526583  0.833054    -0.025
  8  Br    0.25  0.144901  0.064696    -0.026
  9  Br    0.75  0.855099  0.935304    -0.026
 10  Br    0.25  0.644901  0.435304    -0.026
 11  Br    0.75  0.355099  0.564696    -0.026",[59885],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}"
237,AgBiI4,"Full Formula (Ag2 Bi2 I8)
Reduced Formula: AgBiI4
abc   :   8.985458   8.985458   8.985458
angles: 121.325950 120.420610  88.495810
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0         0         0.5             -0
  1  Ag    0         0.5       0               -0
  2  Bi    0.5       0         0.5              0
  3  Bi    0         0         0                0
  4  I     0.224202  0.240824  0.983378         0
  5  I     0.757445  0.240824  0.516622         0
  6  I     0.74524   0.245512  0.000272         0
  7  I     0.74524   0.744968  0.499728         0
  8  I     0.25476   0.255032  0.500272         0
  9  I     0.242555  0.759176  0.483378         0
 10  I     0.25476   0.754488  0.999728         0
 11  I     0.775798  0.759176  0.016622         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Imma', 'number': 74, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2b 2'}"
238,Ag2HgI4,"Full Formula (Ag2 Hg1 I4)
Reduced Formula: Ag2HgI4
abc   :   4.714360   4.714360  76.796969
angles:  60.587188  60.587187  60.000003
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.27392   0.27392   0.51114          0
  1  Ag    0.272482  0.272482  0.82391         -0
  2  Hg    0.222766  0.222766  0.895731         0
  3  I     0.975732  0.975732  0.50455         -0
  4  I     0.994521  0.994521  0.813527        -0
  5  I     0.011311  0.011311  0.872879        -0
  6  I     0.999269  0.999269  0.937637         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R3m', 'number': 160, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'R 3 -2""'}"
239,Sc2CI3,"Full Formula (Sc16 C8 I24)
Reduced Formula: Sc2CI3
abc   :  11.069332  11.166952  14.237197
angles: 107.564569  88.529663 119.205148
Sites (48)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sc    0.564667  0.406592  0.601903        -0
  1  Sc    0.435333  0.593408  0.398097        -0
  2  Sc    0.924831  0.644402  0.662893        -0
  3  Sc    0.075169  0.355598  0.337107         0
  4  Sc    0.6635    0.532725  0.836772         0
  5  Sc    0.3365    0.467275  0.163228         0
  6  Sc    0.80591   0.909884  0.89261          0
  7  Sc    0.19409   0.090116  0.10739          0
  8  Sc    0.149069  0.158975  0.881254         0
  9  Sc    0.850931  0.841025  0.118746         0
 10  Sc    0.304082  0.518485  0.619611        -0
 11  Sc    0.695918  0.481515  0.380389        -0
 12  Sc    0.661467  0.715907  0.604562        -0
 13  Sc    0.338533  0.284093  0.395438        -0
 14  Sc    0.012993  0.805404  0.89961          0
 15  Sc    0.987007  0.194596  0.10039          0
 16  C     0.830267  0.712754  0.791791        -0
 17  C     0.169733  0.287246  0.208209        -0
 18  C     0.960171  0.957979  0.02918         -0
 19  C     0.039829  0.042021  0.97082         -0
 20  C     0.718807  0.613021  0.708111        -0
 21  C     0.281193  0.386979  0.291889        -0
 22  C     0.449129  0.502978  0.52996          0
 23  C     0.550871  0.497022  0.47004          0
 24  I     0.85858   0.579453  0.999634        -0
 25  I     0.14142   0.420547  0.000366        -0
 26  I     0.581245  0.714802  0.99361         -0
 27  I     0.418755  0.285198  0.00639         -0
 28  I     0.730148  0.127254  0.993603        -0
 29  I     0.269852  0.872746  0.006397        -0
 30  I     0.636681  0.897621  0.506509         0
 31  I     0.363319  0.102379  0.493491         0
 32  I     0.921871  0.77024   0.507144        -0
 33  I     0.078129  0.22976   0.492856        -0
 34  I     0.785027  0.358042  0.498981        -0
 35  I     0.214973  0.641958  0.501019        -0
 36  I     0.196241  0.931232  0.751139        -0
 37  I     0.803759  0.068768  0.248861        -0
 38  I     0.505071  0.802198  0.756072        -0
 39  I     0.494929  0.197802  0.243928        -0
 40  I     0.062104  0.530846  0.749502        -0
 41  I     0.937896  0.469154  0.250498        -0
 42  I     0.348286  0.378087  0.752445        -0
 43  I     0.651714  0.621913  0.247555        -0
 44  I     0.907555  0.064899  0.745317        -0
 45  I     0.092445  0.935101  0.254683        -0
 46  I     0.630112  0.259818  0.738148        -0
 47  I     0.369888  0.740182  0.261852        -0",[62043],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-1', 'number': 2, 'point_group': '-1', 'crystal_system': 'triclinic', 'hall': '-P 1'}"
240,AsSeI,"Full Formula (As4 Se4 I4)
Reduced Formula: AsSeI
abc   :   4.014769   9.581128  13.798662
angles:  48.605677  90.000000  90.000000
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  As    0.883037  0.49015   0.865408         0
  1  As    0.116963  0.50985   0.134592         0
  2  As    0.616963  0.49015   0.365408         0
  3  As    0.383037  0.50985   0.634592         0
  4  Se    0.927824  0.303284  0.8026          -0
  5  Se    0.572176  0.303284  0.3026          -0
  6  Se    0.427824  0.696716  0.6974          -0
  7  Se    0.072176  0.696716  0.1974          -0
  8  I     0.549273  0.778857  0.926923        -0
  9  I     0.950727  0.778857  0.426923        -0
 10  I     0.049273  0.221143  0.573077        -0
 11  I     0.450727  0.221143  0.073077        -0",[200799],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
241,Cs2AgI3,"Full Formula (Cs8 Ag4 I12)
Reduced Formula: Cs2AgI3
abc   :   5.073131  14.971686  15.572404
angles:  90.000000  90.000000  90.000000
Sites (24)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Cs    0.75  0.173895  0.481897    -0
  1  Cs    0.25  0.826105  0.518103    -0
  2  Cs    0.75  0.673895  0.018103    -0
  3  Cs    0.25  0.326105  0.981897    -0
  4  Cs    0.75  0.51295   0.675678    -0
  5  Cs    0.25  0.48705   0.324322    -0
  6  Cs    0.75  0.01295   0.824322    -0
  7  Cs    0.25  0.98705   0.175678    -0
  8  Ag    0.75  0.252726  0.196572    -0
  9  Ag    0.25  0.747274  0.803428    -0
 10  Ag    0.75  0.752726  0.303428    -0
 11  Ag    0.25  0.247274  0.696572    -0
 12  I     0.75  0.134651  0.05198     -0
 13  I     0.25  0.865349  0.94802     -0
 14  I     0.75  0.634651  0.44802     -0
 15  I     0.25  0.365349  0.55198     -0
 16  I     0.75  0.436263  0.139742    -0.001
 17  I     0.25  0.563737  0.860258    -0.001
 18  I     0.75  0.936263  0.360258    -0.001
 19  I     0.25  0.063737  0.639742    -0.001
 20  I     0.75  0.276487  0.788625    -0.001
 21  I     0.25  0.723513  0.211375    -0.001
 22  I     0.75  0.776487  0.711375    -0.001
 23  I     0.25  0.223513  0.288625    -0.001","[150291, 30658]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}"
242,Bi5IO7,"Full Formula (Bi10 I2 O14)
Reduced Formula: Bi5IO7
abc   :   9.705780   9.705780  13.493342
angles:  73.879588  73.879588  25.379354
Sites (26)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.794843  0.794843  0.369748         0
  1  Bi    0.205157  0.205157  0.630252         0
  2  Bi    0.394962  0.394962  0.129797         0
  3  Bi    0.605038  0.605038  0.870203         0
  4  Bi    0.468801  0.468801  0.365033         0
  5  Bi    0.531199  0.531199  0.634967         0
  6  Bi    0.122825  0.122825  0.410748         0
  7  Bi    0.877175  0.877175  0.589252         0
  8  Bi    0.739148  0.739148  0.135211         0
  9  Bi    0.260852  0.260852  0.864789         0
 10  I     0.928924  0.928924  0.871227        -0
 11  I     0.071076  0.071076  0.128773        -0
 12  O     0.150436  0.150436  0.831758        -0
 13  O     0.849564  0.849564  0.168242        -0
 14  O     0.62651   0.62651   0.701128        -0
 15  O     0.37349   0.37349   0.298872        -0
 16  O     0.284363  0.284363  0.115166        -0
 17  O     0.715637  0.715637  0.884834        -0
 18  O     0.929579  0.929579  0.413008        -0
 19  O     0.070421  0.070421  0.586992        -0
 20  O     0.227787  0.227787  0.441079        -0
 21  O     0.772213  0.772213  0.558921        -0
 22  O     0.30163   0.30163   0.702072        -0
 23  O     0.69837   0.69837   0.297928        -0
 24  O     0.415191  0.415191  0.528607        -0
 25  O     0.584809  0.584809  0.471393        -0",[30978],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}"
243,Te7As5I,"Full Formula (Te7 As5 I1)
Reduced Formula: Te7As5I
abc   :   7.725136   7.725136  14.572317
angles:  70.739682  70.739682  30.256869
Sites (13)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Te    0.614161  0.614161  0.322075        -0
  1  Te    0.924676  0.924676  0.553012        -0
  2  Te    0.231289  0.231289  0.788678        -0
  3  Te    0.959648  0.959648  0.827283        -0
  4  Te    0.64585   0.64585   0.59496         -0
  5  Te    0.334928  0.334928  0.373497        -0
  6  Te    0.035199  0.035199  0.107909        -0
  7  As    0.496921  0.496921  0.000833         0
  8  As    0.806104  0.806104  0.259696         0
  9  As    0.122605  0.122605  0.463662         0
 10  As    0.451098  0.451098  0.678138         0
 11  As    0.76904   0.76904   0.896572         0
 12  I     0.303082  0.303082  0.075986        -0",[31877],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}"
